luxury,tranquility,safety,accessibility,security,overall_sentiment,original_index
6,8,7,5,6,6,0
7,5,8,9,8,7,2
8,6,7,8,8,7,4
4,5,7,6,8,6,7
8,5,7,6,8,7,8
4,6,7,8,7,7,9
6,8,7,7,8,7,11
9,8,7,6,8,8,12
7,6,8,7,8,7,13
8,7,8,9,8,8,14
6,8,8,7,7,7,15
7,8,8,7,8,8,16
2,8,6,7,7,6,18
8,7,8,9,8,8,19
8,9,9,8,8,8,20
6,7,7,8,7,7,21
8,7,6,8,7,8,22
6,8,7,9,6,7,23
7,8,7,8,8,7,24
7,8,6,9,7,7,26
9,8,7,9,8,8,28
7,8,7,9,8,8,29
7,8,6,8,7,8,30
2,6,7,5,7,5,31
8,9,7,8,9,8,32
8,7,8,9,9,8,34
7,8,6,7,7,7,35
8,7,7,8,8,8,36
2,3,5,7,6,4,37
4,7,6,5,7,6,38
2,4,6,8,7,5,39
7,8,8,7,6,7,40
8,7,8,9,8,8,42
7,8,9,7,8,7,43
4,7,6,8,7,6,44
6,5,7,8,7,6,46
2,7,6,8,7,7,47
8,7,8,9,8,8,48
6,4,5,7,6,6,51
3,5,6,7,6,5,52
4,6,7,8,7,7,53
5,8,7,7,6,7,54
3,7,6,8,8,6,55
4,5,6,7,7,6,56
8,7,7,8,8,8,57
6,5,7,8,9,7,58
7,6,8,7,8,7,59
8,9,7,8,7,8,60
2,5,7,6,6,5,61
2,5,7,6,8,5,63
5,6,7,8,7,7,64
6,7,8,8,7,7,65
7,8,7,9,8,8,70
6,7,8,8,7,7,71
8,7,7,8,8,8,72
5,8,7,6,7,6,73
4,7,6,8,8,7,74
3,6,7,8,7,6,76
8,9,9,8,9,8,77
7,6,5,7,6,6,78
9,8,7,8,8,8,79
7,8,7,8,8,8,81
5,6,7,8,8,7,82
5,7,8,6,7,7,83
8,7,8,8,9,8,86
8,7,8,9,7,8,87
8,5,7,6,8,7,89
7,6,8,7,8,7,91
5,8,7,6,6,7,93
2,4,6,7,5,5,95
6,3,5,7,8,6,98
7,5,8,6,7,6,99
7,8,6,7,8,7,101
7,6,8,8,7,7,102
4,7,8,6,7,7,104
2,5,6,4,7,5,105
5,4,7,8,6,6,106
7,6,8,7,8,7,107
2,5,6,3,4,4,108
2,3,7,6,5,5,109
8,9,8,9,9,9,110
7,8,6,7,8,7,111
4,6,7,8,7,6,113
5,7,8,6,6,6,114
8,9,7,8,8,8,115
8,7,8,9,9,8,118
8,7,6,8,7,7,119
5,7,8,8,9,8,120
3,7,8,9,6,7,121
2,4,7,8,6,5,122
3,5,7,6,6,5,123
7,6,8,7,8,7,124
2,4,5,6,6,5,125
8,8,9,8,9,8,126
6,4,8,7,7,7,127
2,4,5,6,7,5,128
6,8,7,5,6,7,129
7,8,8,9,9,8,130
6,8,7,6,7,7,131
7,8,8,7,6,7,132
8,9,7,8,8,8,133
3,7,8,6,7,7,134
7,8,8,7,8,8,135
5,7,6,8,7,7,136
5,6,8,7,8,7,137
8,7,7,8,8,8,138
7,8,7,8,9,8,139
7,8,9,7,8,8,141
5,7,8,8,7,7,142
6,8,7,8,7,7,143
3,6,7,5,8,6,145
2,4,4,6,3,4,146
7,8,6,9,7,7,147
8,9,7,8,8,8,148
5,3,7,6,6,5,149
7,8,8,7,7,7,150
8,5,8,7,6,7,151
8,7,8,8,9,8,152
8,7,8,9,9,8,154
7,6,8,7,8,7,155
8,7,6,8,7,8,156
8,7,7,8,6,7,157
7,6,8,7,8,7,158
6,7,8,9,7,7,159
8,7,8,9,8,8,161
3,6,7,8,5,6,162
